Kestrel Name,Route Number,Time,Temperature,Wet Bulb Temp,Globe Temperature,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,NWB Temp,Compass True Direction,Thermal Work Limit,Wet Bulb Globe Temperature,Wind Chill,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes,Probability of Ignition,Vapor Pressure Deficit
,,,°F,°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,°F,Deg,w/m2,°F,°F,,,,,,,,,%,inHg
HEAT - 3030480,17,6/7/26 10:48,86,78,108,68,30,-34,30,6,97,75,2087,,,,82,,174,88,86,session,"Session - Jun 7, 2026 10:48:39 AM",2026-06-07 10:48:39 AM 10:48:39 AM,0:16:18,,,,,,
HEAT - 3030480,17,6/7/26 15:27,87,78,103,67,30,-16,30,6,97,75,2135,,,,81,,196,86,87,session,"Session - Jun 7, 2026 3:27:30 PM",2026-06-07 03:27:30 PM 3:27:30 PM,0:15:34,,,,,,
FIRE - 3126787,20,6/7/26 13:14,87,78,110,67,30,27,30,5,98,75,2221,,,,83,,163,89,87,session,"Session - Jun 7, 2026 1:14:51 PM",2026-06-07 01:14:51 PM 1:14:51 PM,0:15:14,,,,Enter Notes,40,0.44
FIRE - 3126787,30,6/8/26 10:26,88,76,110,59,30,-148,30,5,96,72,1994,,,,81,,174,87,88,session,"Session - Jun 8, 2026 10:26:48 AM",2026-06-08 10:26:48 AM 10:26:48 AM,0:15:44,,,,Enter Notes,40,0.55
WBGT 1,30,6/8/26 15:49,88,78,108,63,30,-97,30,4,99,74,2112,,,,82,,173,88,88,session,"Session - Jun 8, 2026 3:49:35 PM",2026-06-08 03:49:35 PM 3:49:35 PM,0:19:58,,,,Enter Notes,,
WBGT 1,31,6/8/26 12:20,88,76,109,59,30,-180,30,4,95,71,1941,,,,81,,178,87,88,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes,,
WBGT 1,31,6/8/26 15:49,88,78,108,63,30,-97,30,4,99,74,2112,,,,82,,173,88,88,session,"Session - Jun 8, 2026 3:49:35 PM",2026-06-08 03:49:35 PM 3:49:35 PM,0:19:58,,,,Enter Notes,,
FIRE - 3126787,10,6/10/26 16:27,84,75,87,66,30,8,30,3,91,72,1976,,,,75,,254,78,84,,,,,,,,,40,0.4
FIRE - 3126787,10,6/10/26 14:53,88,78,110,63,30,-71,30,3,99,74,2144,,,,82,,156,88,88,session,"Session - Jun 10, 2026 2:53:36 PM",2026-06-10 02:53:36 PM 2:53:36 PM,0:15:04,,,,Enter Notes,40,0.5
FIRE - 3126787,10,6/10/26 10:05,86,75,98,59,30,-41,30,4,93,70,2008,,,,77,,223,82,86,session,"Session - Jun 10, 2026 10:05:25 AM",2026-06-10 10:05:25 AM 10:05:25 AM,0:15:00,,,,Enter Notes,40,0.51
FIRE - 3126787,10,6/10/26 11:38,85,76,94,69,30,-118,30,4,93,73,1857,,,,78,,224,82,85,session,"Session - Jun 10, 2026 11:38:07 AM",2026-06-10 11:38:07 AM 11:38:07 AM,0:15:07,,,,Enter Notes,34,0.37
FIRE - 3126787,34,6/14/26 14:59,88,77,103,59,30,-72,30,3,97,72,2136,,,,79,,198,85,88,session,"Session - Jun 14, 2026 2:59:01 PM",2026-06-14 02:59:01 PM 2:59:01 PM,0:15:31,,,,Enter Notes,40,0.55
FIRE - 3126787,34,6/14/26 11:34,89,77,110,58,30,-116,30,3,98,72,2118,,,,81,,166,87,89,session,"Session - Jun 14, 2026 11:34:26 AM",2026-06-14 11:34:26 AM 11:34:26 AM,0:15:00,,,,Enter Notes,40,0.58
HEAT - 3030480,35,6/14/26 10:39,88,76,95,59,30,-177,30,8,95,71,1937,,,,77,,253,81,87,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,Bus Station,,"(17.757641, -64.622685)",,,
HEAT - 3030480,35,6/14/26 15:35,88,76,94,60,30,-133,30,6,96,72,2010,,,,77,,248,81,88,session,"Session - Jun 14, 2026 3:35:41 PM",2026-06-14 03:35:41 PM 3:35:41 PM,0:15:00,,,"(17.757641, -64.622685)",Enter Notes,,
FIRE - 3126788,6,6/15/26 12:16,91,76,96,50,30,-16,30,3,99,70,2345,,,,76,,226,81,91,session,"Session - Jun 15, 2026 12:16:08 PM",2026-06-15 12:16:08 PM 12:16:08 PM,0:07:03,,,,,50,0.74
FIRE - 3126788,6,6/15/26 14:33,94,77,103,45,30,9,30,4,103,70,2567,,,,78,,208,85,94,session,"Session - Jun 15, 2026 2:33:59 PM",2026-06-15 02:33:59 PM 2:33:59 PM,0:07:42,,,,,52,0.89
FIRE - 3126787,19,6/17/26 11:09,88,77,108,60,30,-110,30,7,97,72,2056,,,,81,,189,86,88,session,"Session - Jun 17, 2026 11:09:15 AM",2026-06-17 11:09:15 AM 11:09:15 AM,0:07:10,,"109 Sour Sop Ln, Christiansted, St Croix 00820, USVI","https://www.google.com/maps/search/?api=1&query=17.7482699,-64.7767575",Enter Notes,40,0.53
FIRE - 3126787,19,6/17/26 15:43,86,77,106,66,30,-57,30,6,96,74,2041,,,,81,,187,87,86,session,"Session - Jun 17, 2026 3:43:16 PM",2026-06-17 03:43:16 PM 3:43:16 PM,0:07:58,,,,,40,0.43
FIRE - 3126787,27,6/21/26 11:31,89,80,108,67,30,46,30,4,104,77,2393,,,,84,,158,89,89,session,"Session - Jun 21, 2026 11:31:55 AM",2026-06-21 11:31:55 AM 11:31:55 AM,0:15:00,,,,Enter Notes,40,0.46
HEAT - 3030480,8,6/22/26 12:00,85,76,95,67,30,-37,30,6,93,73,1981,,,,78,,238,82,85,session,"Session - Jun 22, 2026 12:00:21 PM",2026-06-22 12:00:21 PM 12:00:21 PM,0:10:00,,,,,,
HEAT - 3030480,8,6/22/26 14:45,86,76,99,65,30,-5,30,8,95,73,2084,,,,79,,224,84,86,session,"Session - Jun 22, 2026 2:45:46 PM",2026-06-22 02:45:46 PM 2:45:46 PM,0:07:46,,,,,,
FIRE - 3126788,1,6/24/26 10:57,87,77,95,66,30,-145,30,3,97,74,1973,,,,79,,210,83,87,session,"Session - Jun 24, 2026 10:57:38 AM",2026-06-24 10:57:38 AM 10:57:38 AM,0:08:01,,"81 Queen Cross St, Christiansted, St Croix 00820, USVI","https://www.google.com/maps/search/?api=1&query=17.7472506,-64.7051504",Enter Notes,40,0.44
FIRE - 3126788,1,6/24/26 15:35,88,78,100,63,30,-84,30,2,99,74,2124,,,,80,,193,85,88,session,"Session - Jun 24, 2026 3:35:28 PM",2026-06-24 03:35:28 PM 3:35:28 PM,0:07:46,,"81 Queen Cross St, Christiansted, St Croix 00820, USVI","https://www.google.com/maps/search/?api=1&query=17.7472506,-64.7051504",Enter Notes,40,0.49
WBGT 1,33,7/1/26 12:02,90,80,113,64,30,-103,30,3,104,76,2232,,,,85,,133,91,90,session,"Session - Jul 1, 2026 12:02:15 PM",2026-07-01 12:02:15 PM 12:02:15 PM,0:07:00,,"127A Estate, Frederiksted, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.7008871,-64.8862538",Enter Notes,,
WBGT 1,33,7/1/26 14:53,92,81,111,64,30,-71,30,2,108,77,2398,,,,85,,133,91,92,session,"Session - Jul 1, 2026 2:53:27 PM",2026-07-01 02:53:27 PM 2:53:27 PM,0:07:35,,"M4X7+V5F, Southwest, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.6996784,-64.8870885",Enter Notes,,
HEAT - 3030480,23,7/2/26 12:02,88,76,92,59,30,14,30,5,96,72,2200,,,,76,,252,80,88,session,"Session - Jul 2, 2026 12:02:27 PM",2026-07-02 12:02:27 PM 12:02:27 PM,0:07:08,,"4030 W St John Rd, Saint John, St Croix 00820, USVI","https://www.google.com/maps/search/?api=1&query=17.7588546,-64.7518564",Enter Notes,,
HEAT - 3030480,23,7/2/26 14:22,88,76,92,57,30,37,30,5,95,71,2222,,,,75,,255,80,88,session,"Session - Jul 2, 2026 2:22:18 PM",2026-07-02 02:22:18 PM 2:22:18 PM,0:08:38,,,,Enter Notes,,
HEAT - 3030480,15,7/6/26 12:41,89,78,101,61,30,-174,30,5,99,74,2053,,,,80,,207,85,89,session,"Session - Jul 6, 2026 12:41:27 PM",2026-07-06 12:41:27 PM 12:41:27 PM,0:07:04,,,,,,
HEAT - 3030480,15,7/6/26 13:56,88,77,95,62,30,-162,30,5,97,73,1999,,,,78,,233,82,88,session,"Session - Jul 6, 2026 1:56:07 PM",2026-07-06 01:56:07 PM 1:56:07 PM,0:10:30,,,,Enter Notes,,
WBGT 1,18,7/6/26 10:40,90,78,107,61,30,-146,30,3,101,75,2149,,,,81,,178,87,90,session,"Session - Jul 6, 2026 10:40:56 AM",2026-07-06 10:40:56 AM 10:40:56 AM,0:07:06,,"St Croix, Frederiksted Southeast, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.6958276,-64.8631163",Enter Notes,,
